Name,Weight (lbs),Height (inches)
"Battle, Jim",235,77
"Caldwell, Antoine",315,75
"Halstrom, Bernie",160,69
"Kizer, DeShone",230,76
"Cannon, Billy",207,73
"Pearson, Drew",184,72
"Haliburton, Ronnie",230,76
"Levy, Chuck",206,72
"Fagan, Kevin",260,75
"Johnson, Oscar",345,78
"Holsey, Joshua",195,71
"Gibson, Joe",213,75
"Thomason, Jeff",255,77
"Reid, Nick",234,75
"Ebding, Harry",199,71
"Ware, Brad",205,73
"Davis, Craig",210,73
"Clady, Ryan",315,78
"Iupati, Mike",331,77
"Maloney, Red",181,71
"Pino, Chris",315,77
"Thomas, John",188,73
"Kaimer, Karl",230,75
"Barnes, Brandon",256,77
"Johns, Pete",190,74
"Smith, Rodney",232,77
"Keneley, Matt",295,77
"Anderson, Neal",210,71
"Schleusner, Vin",225,75
"Goodson, Tyrone",195,74
"Reed, Kalan",192,71
"Barnett, Tom",190,71
"Davis, Carl",194,72
"Cherry, Ed",208,72
"Bell, Carlos",238,77
"Denny, Earl",205,73
"Ringo, Jim",232,73
"Pearce, Harley",180,70
"Leicht, Jake",170,69
"Kearse, Tim",186,70
"Timmons, Charlie",210,70
"McCann, Bryan",185,71
"Goss, Don",260,77
"Norman, Ben",212,73
"Braden, Ben",329,78
"LeGree, Mark",211,72
"Richards, Ted",174,69
"Bullough, Riley",226,74
"Moore, Kenny",179,69
"Weisacosky, Ed",230,73
"Agase, Alex",212,70
"Billings, Andrew",311,73
"Mariani, Marc",190,73
"Lamb, Roddy",160,66
"Akins, Chris",200,71
"Kimble, Eric",195,71
"Marrow, John",230,71
"Dickerson, Andy",260,77
"Kosens, Terry",195,75
"LaBeaux, Sandy",210,75
"Osborne, Eldonta",226,72
"Figner, George",185,72
"Alexander, Roc",190,70
"O'Quinn, Red",195,74
"Exum, Antone",219,72
"Felder, Bobby",200,71
"Crosby, Mason",207,73
"Jones-Quartey, Harold",210,71
"Thompson, Bob",170,69
"Parker, Larry",206,73
"Toler, Greg",180,72
"Arneson, Jim",247,75
"Gilmore, Jonathan",295,76
"Wenzel, Jeff",270,79
"Giacomarro, Ralph",190,73
"Vataha, Randy",176,70
"Piccolo, Brian",205,72
"Holmes, Tyrone",253,74
"Kimball, David",205,73
"Griffen, Everson",273,75
"Feinga, Ray",320,76
"Rembert, Reggie",200,77
"Alexander, Mister",252,75
"Nave, Steve",250,74
"Schankweiler, Scott",225,72
"Bell, Bobby",217,75
"Davis, Kenneth",208,70
"Bell, Byron",340,77
"Phelps, Don",185,71
"Davis, Ron",190,70
"Bell, Albert",170,72
"Kempinska, Charlie",235,72
"Norris, Jon",260,75
"Jencks, Bob",227,77
"Johnson, Jason",178,70
"Bailey, Larry",238,76
"Shaw, Eric",248,75
"Goodson, John",204,75
"Panfil, Ken",262,78
"Pearson, J.C.",183,71
"Hikutini, Cole",247,76
"McGill, Keith",210,75
"McRoberts, Paul",200,74
"Harris, Fatty",,
"Lainhart, Porter",180,72
"Allen, Matt",295,74
"Regent, Shawn",280,77
"Cambal, Dennis",225,74
"Acosta, Corey",190,72
"Gerela, Roy",185,70
"Rathman, Tom",230,73
"Johnson, Pat",204,73
"Calvelli, Tony",189,70
"Martinez, Blake",237,74
"Grant, Doran",200,70
"Foules, Elbert",185,71
"Burley, Marcus",190,70
"McGill, T.Y.",310,72
"Acks, Ron",214,74
"Wreh-Wilson, Blidi",198,73
"Garlin, Don",188,71
"Mundt, Johnny",231,76
"Okotcha, Bennett",195,72
"Tuitt, Stephon",303,78
"Finch, Olen",180,68
"Carter, Walter",276,76
"Wormley, Chris",297,77
"Walker, Gary",324,74
"Oliver, Melvin",282,75
"Keith, Brandon",338,77
"Caleb, Jamie",210,73
"Yelverton, Bill",220,76
"Petersen, Kurt",264,76
"McCoil, Dexter",220,76
"Marcontell, Ed",240,72
"Irving, Isaiah",225,74
"Beecham, Earl",180,68
"Tanner, Andy",183,72
"Auclair, Antony",254,78
"Key, Travis",185,70
"Andrews, William",206,72
"Castle, Eric",212,75
"Hale, Dave",255,80
"Zimmerman, Jeff",320,75
"Thomas, Tarlos",330,77
"Piscitelli, Sabby",224,75
"Nix, John",313,73
"McClellin, Shea",250,75
"Farris, Chase",295,76
"Hall, James",252,73
"Kapter, Alex",205,72
"Levens, Dorsey",230,73
"Glasgow, Graham",308,78
"Arth, Tom",235,76
"Churchman, Ricky",195,73
"Gales, Dion",310,77
"Evwaraye, Seppo",220,77
"Alford, Billy",183,69
"Hamilton, Steve",263,76
"Saidock, Tom",261,77
"Redick, Corn",185,71
"Boehringer, Moritz",225,76
"Martin, Wayne",275,77
"Harper, Bruce",174,68
"Pavkov, Stan",212,72
"Gartner, Chris",170,72
"Moore, Jordan",225,75
"Joachim, Steve",215,75
"Ashford, Perez",182,71
"Jenke, Noel",221,74
"Lindsey, Korey",194,70
"Goulet, Steve",195,74
"Chorak, Jason",256,76
"Hajek, Chuck",210,73
"Sears, Jimmy",183,71
"Egloff, Ron",230,77
"Thomas, Eric",184,71
"Vincent, Shawn",175,70
"Banta, Brad",257,78
"Jones, Donnie",221,74
"Bassman, Reds",180,71
"Kelly, Maurice",209,74
"Fifita, Steve",312,73
"Tomlinson, Eric",263,78
"Osmanski, Bill",197,71
"Gachkar, Andrew",224,74
"Porter, Sean",242,73
"Billingsley, Jace",189,69
"Decoud, Treston",206,74
"Weston, Kade",315,77
"Renteria, D.J.",282,75
"Kitna, Jon",220,74
"Blount, LeGarrette",250,72
"Mason, Joel",199,72
"Kirkland, Levon",275,73
"Yankey, David",310,78
"Hannon, Tom",193,71
"Kirschke, Travis",298,75
"Elston, Dutch",190,71
"Manalac, Ryan",235,72
"Klug, Karl",278,75
"Johnson, Donnell",300,79
"Nash, Kenny",193,74
"Feist, Lou",200,73
"Mayowa, Benson",240,75
"Barnes, Tim",306,76
"Calloway, Chris",180,70
"Paul, Harold",245,77
"Goode, Conrad",285,78
"Eckel, Kyle",237,71
"Sedbrook, Len",174,70
"McKinnon, Jeremiah",192,71
"Hanson, Jason",190,72
"Carson, Johnny",202,75
"Lantz, Mose",185,71
"Delpino, Robert",198,72
"Seward, Adam",250,75
"Feely, Jay",208,70
"Venuto, Jay",197,73
"O'Brien, Davey",151,67
"Nelson, Ted",203,70
"Jones, Deion",222,73
"Garry, Ben",215,72
"Reed, Daryl",185,73
"Ekern, Carl",223,75
"Abdesmad, Mehdi",284,78
"Payne, Bobby",286,76
"Massaquoi, Tim",255,77
"Noethlich, Bill",308,79
"Dempsey, John",215,72
"Angulo, Richard",260,80
"Daugherty, Dick",219,73
"Ford, Chris",185,73
"Giddens, Frank",300,79
"Quinn, Paddy",170,67
"Reid, Ike",250,76
"Cesare, Billy",190,71
"Davis, John",155,
"Augusta, Josh",300,76
"Elliott, Jumbo",305,79
"Johnson, Herman",360,79
"Dawson, Rhett",185,73
"Schmitt, Owen",250,74
"Reed, Ben",265,77
"Cisowski, Steve",275,77
"Reddick, Kevin",240,73
"Owens, Artie",176,70
"Ellis, Elbert",216,77
"Carpenter, Keion",205,71
"Edler, Deke",170,69
"Sampson, DeMarco",204,74
"Kapitansky, Bernie",212,73
"Ellis, Dominique",195,71
"Nichols, Bob",250,75
"Hall, Mark",285,76
"Langford, Kendall",305,78
"Rice, Jerry",185,71
"Aiono, James",305,75
"Halloran, Shawn",217,76
"Magee, Terrence",215,69
"Allen, Rodney",315,74
"Pierce, Aaron",250,77
"Baker, Lewis",203,75
"Kennedy, Jimmie",231,75
"Bell, Jason",196,72
"Ogbogu, Eric",275,76
"Nesser, Ted",230,70
"Lay, Josh",197,73
"McAdams, Dean",193,73
"Campbell, Darrell",295,76
"Uhrinyak, Steve",218,74
"Keim, Mike",302,79
"Beattie, Bob",230,75
"Sanchez, Jeff",175,69
"Wagner, Buff",165,69
"Allerman, Kurt",222,75
"Vierling, Bradley",290,75
"Hanner, Dave",257,74
"Mahina, Devin",250,78
"Sokoli, Kristjan",300,77
"Bundy, Marquis",215,76
"Rhodes, Bruce",187,72
"Hall, John",240,75
"Kinder, Randy",213,73
"Nelson, Ed",272,75
"Dixon, Brian",195,72
"Shann, Bob",189,73
"Sands, Terdell",335,79
"Pickens, Bruce",190,71
"Swoope, Erik",257,77
"Warren, Terrence",205,73
"Little, Earl",202,72
"Powers, Jerraud",193,70
"Harvey, Mario",264,72
"Carrier, Mark",186,72
"Kennedy, Allan",273,79
"Koman, Bill",229,74
"Hardy, Frantz",180,72
"Little, Everett",265,76
"Edwards, Eric",257,77
"Gurley, Todd",227,73
"Jeffery, Alshon",218,75
"Koch, George",200,72
"Sharkey, Ed",229,75
"Reed, Kerry",201,73
"Behan, Chuck",195,75
"Klawitter, Dick",270,79
"Campbell, Jesse",211,73
"Leavitt, Allan",176,71
"Fortin, Roman",297,77
"Phenix, Perry",210,71
"Nichols, Mike",225,75
"Degrate, Tony",280,76
"Tays, Jimmy",174,68
"Harraway, Charlie",215,74
"Edwards, Steve",333,77
"Johnson, Stafon",222,71
"Villa, Danny",304,77
"Ortego, Keith",180,72
"Tillman, Faddie",235,77
"Tidmore, Sam",230,73
"Glenn, Kerry",175,69
"Mayne, Lew",190,73
"Embree, Taylor",210,75
"Alphin, Gerald",220,75
"Mattos, Grant",220,74
"Paradis, Matt",300,75
"Jenkins, MarTay",206,72
"Restic, Joe",180,74
"Floyd, Don",245,75
"Nolander, Don",210,73
"Joesting, Herb",194,74
"Rehage, Steve",190,73
"Odoms, Riley",230,76
"Taylor, Greg",168,68
"Manupuna, Vaka",300,72
"Williams, Dan",330,74
"Latimer, Cody",215,74
"Rentzel, Lance",202,74
"Banks, Chip",233,76
"Laughton, Jim",225,77
"Chapple, Dave",184,73
"McCoy, LeSean",208,71
"Diamond, Bill",240,72
"Ward, David",195,70
"Dennis, Derek",325,75
"Flannery, John",295,76
"Smith, Harrison",214,74
"Manhertz, Chris",255,78
"Kocourek, Dave",240,77
"King, Rip",205,73
"Shipley, A.Q.",307,73
"Whatley, Jim",223,77
"Goodwin, C.J.",220,75
"Adams, Harry",183,72
"Reed, Robert",203,73
"Webb, Terrish",170,71
"Fletcher, Bradley",205,72
"Hamdan, Gibran",220,76
"Ward, LaShaun",198,71
"Letner, Cotton",215,73
"Talley, Julian",192,73
"Harris, Bo",225,75
"Kamana, John",223,74
"Pennel, Mike",332,76
"Mager, Craig",200,71
"Obi, Conrad",290,75
"Marshall, Torrance",255,74
"Tautolo, John",267,75
"Harvey, Lonnie",342,75
"Garrett, Kevin",194,69
"Crowley, Lucas",269,75
"Seidman, Mike",261,76
"Obee, Dunc",200,71
"Robertson, Pete",233,75
"McArthur, Kevin",244,74
"Labhart, Travis",182,69
"Keckin, Val",215,76
"Lewis, Detron",208,72
"Watts, Ted",195,72
"Mack, Alex",311,76
"Stewart, Brandon",171,72
"Kaepernick, Colin",230,76
"Washington, Clyde",197,73
"Ogden, Ray",225,77
"Terry, Joe",230,74
"Nyvall, Vic",185,70
"Anderson, Flipper",175,72
"Gabbard, Steve",275,76
"Carson, Kern",200,73
"Rayburn, Van",180,73
"Franckowiak, Mike",220,75
"Pettrey, Aaron",199,74
"Vogler, Tim",259,75
"Bamiro, Michael",340,80
"Goldstein, Al",204,72
"Jackson, Bobby",190,73
"Jacobson, Larry",260,78
"Jackunas, Frank",225,75
"Martin, Doug",223,69
"Childs, Clarence",186,71
"Palmer, Emile",320,75
"King, David",176,68
"Kamanu, Lew",245,76
"Taylor, Rendrick",265,74
"Arukwe, Stanley",184,71
"Waynes, Trae",190,72
"Pieschel, Nick",309,78
"Rice, null",,
"Joseph, Dieugot",293,78
"Wilson, Marquess",206,76
"Daniels, Chris",219,75
"Dawkins, Everett",298,74
"Alinen, Klaus",256,78
"Colbert, Adrian",205,74
"Pesuit, Wally",252,76
"Landry, LaRon",226,72
"Tomasello, Carl",210,72
"Still, Devon",305,77
"Kleinhesselink, Riley",270,77
"Maze, Marquis",186,68
"Battle, Jim",255,73
"Ogden, Jonathan",345,81
"Tatum, Kinnon",222,72
"Chaney, Jermaine",215,72
"Castonzo, Anthony",311,79
"Harold, Eli",265,75
"Allen, Josh",315,75
"Werner, Joe",252,78
"Ellis, Louis",320,74
"Albert, Sergio",195,75
"Harmon, Kevin",190,72
"Watson, Benjamin",251,75
"Beach, Pat",243,76
"Feehery, Gerry",268,74
"James, Ja'Wuan",307,78
"Nussmeier, Doug",211,75
"McClellan, Albert",250,74
"Davis, Billy",210,76
"Scafide, John",210,72
"Jenkins, Ed",210,74
"Maumalanga, Chris",288,74
"Kane, Tommy",180,71
"Cherry, Raphel",194,72
"Baker, Keith",187,70
"Chapman, Gil",180,69
"Pear, Dave",250,74
"Lavalais, Chad",310,73
"Ramson, Eason",232,74
"Nemzek, Ted",205,
"Redman, Rick",220,73
"Tyson, Michael",204,73
"Gant, Brian",235,72
"Chapman, Doug",213,70
"Davenport, Charles",210,75
"Glick, Eddie",165,68
"Nelson, J.J.",160,70
"Housler, Rob",250,77
"Gilbert, Wally",180,73
"Massaquoi, Mohamed",207,74
"Dinkel, Tom",240,75
"Walker, Bruce",310,76
"Kelly, Aaron",203,77
"LeClair, Jim",234,75
"Rice, Ray",206,68
"Lake, Antwan",308,76
"Reeves, Roy",182,72
"Manumaleuna, Brandon",295,74
"Reveiz, Nick",224,70
"Cade, Eddie",206,73
"Zoppetti, Frank",185,71
"Ifeanyichukwu, Israel",260,75
"Anthony, Deon",214,72
"Ball, Larry",232,78
"Haselrig, Carlton",290,73
"Neely, Ralph",265,78
"Quinn, Robert",264,76
"George, Andrew",247,76
"Maddox, Bob",237,77
"Ellenson, Gene",210,73
"Smith, Telvin",218,75
"Tarle, Jim",221,72
"Lamas, Joe",216,70
"Ramsey, Chuck",191,74
"Wheelwright, Ernie",239,75
"Howard, Jordan",222,72
"Darragh, Dan",196,75
"Cahill, Bill",180,71
"Sandifer, Bill",278,78
"Thomason, Bobby",196,73
"Baylor, Raymond",263,77
"Beitia, Xavier",198,70
"Manningham, Mario",185,71
"Urban, Tyler",249,77
"Renfro, Mel",190,72
"Goode, Don",234,74
"Baumgardner, Joe Billy",198,73
"Silatolu, Amini",320,76
"Taylor, John",185,73
"Nash, Joe",278,75
"Engel, Greg",285,75
"Urban, Nick",309,76
"Lapka, Ted",193,73
"Tipton, Dave",245,78
"Barna, George",198,73
"Rabb, Warren",204,75
"Settles, Tawambi",191,74
"Najarian, Pete",233,74
"Travis, Ross",235,79
"McGuire, Elijah",214,70
"Klenk, Quentin",225,74
"Ward, Channing",279,76
"Lafitte, Bill",170,73
"Flynn, J.P.",304,77
"Chandler, Don",215,74
"Kelly, Reggie",257,76
"Hameister-Ries, Jon",308,78
"Lilja, Ryan",290,74
"Folkins, Lee",215,77
"Lightbody, Samuel",325,81
"O'Brien, Con",195,74
"Davis, Norman",245,74
"Frahm, Dick",195,70
"Slauson, Matt",315,77
"Pearce, Pard",150,65
"Walters, Les",185,72
"Kearney, Vernon",185,74
"Edmondson, Van",210,70
"Tensi, Steve",215,77
"Gardner, Isaiah",197,71
"Daniels, Alex",276,76
"Vanderjagt, Mike",218,77
"Mariota, Marcus",222,76
"Parson, Ray",245,76
"Graf, Dave",215,74
"Thomas, Robert",273,73
"Nzeocha, Eric",212,75
"Hall, Steve",205,72
"Redden, Barry",210,70
"Farmer, Robert",217,71
"Marcolini, Hugo",203,72
"Gorecki, Chuck",237,76
"Salley, Nate",216,73
"Haggerty, Mike",245,76
"Fox, Scott",222,74
"Pierce, Don",186,73
"Warren, Buss",175,71
"Walker, Louie",216,73
"Vidoni, Vic",210,73
"Davis, Roger",240,75
"Bailey, Sam",195,74
"Carroll, Victor",235,75
"Toogood, Charlie",232,72
"Youboty, Ashton",192,72
"Germaine, Joe",220,74
"Lewis, David",234,75
"Evans, Maurice",265,74
"Hart, Mike",206,69
"Zofko, Mickey",195,75
"James, Josh",314,77
"Vincent, Troy",200,73
"Fitzke, Paul",195,70
"Gerhard, Chris",185,70
"Thomas, Zach",182,72
"Palepoi, Anton",297,76
"Jaworski, Ron",196,74
"Thornton, Rube",205,70
"Lavelli, Dante",191,72
"Lander, Lowell",195,72
"Conklin, Jack",308,78
"Larson, Kyle",204,73
"Pryor, Calvin",207,71
"Jimoh, Ade",187,73
"Laufenberg, Babe",198,74
"Barden, Brandon",253,76
"Brown, Kourtnei",253,76
"Farr, Mel Jr.",222,72
"Tanner, Charlie",305,75
"Iwanowski, Mark",230,76
"Finn, Mike",290,76
"O'Donnell, Dick",190,70
"Earhart, Ralph",165,70
"Edwards, Brian",230,73
"Ghee, Milt",167,67
"Prater, Matt",201,70
"Harris, Dwayne",202,70
"Abdullah, Rahim",233,77
"Washington, Teddy",210,71
"Ford, Isaiah",195,74
"Frazier, Curt",193,71
"Gallon, Jeremy",185,68
"Phillips, John",251,77
"Peterson, Tony",232,73
"Lemon, Cliff",190,70
"Barrett, Emmett",192,74
"Fifer, Bill",250,76
"Underwood, Jack",196,72
"Wager, John",203,71
"Jackson, Bob",210,71
"Garvey, Franny",175,73
"Bryant, Armonty",265,76
"Thornton, Bubba",174,72
"Perpich, George",223,74
"Ilkin, Tunch",253,75
"Grabowski, Jim",220,74
"Daniels, Brian",303,76
"Youngstrom, Swede",187,73
"Marvaso, Tommy",190,73
"Klasnic, John",185,72
"Beeler, Chase",285,75
"Jenkins, Julian",277,75
"Clarke, Will",280,78
"Young, Sam",190,73
"Kegarise, Mike",310,77
"Lewis, Frank",196,73
"Givens, David",215,72
"Harrison, Brandon",226,74
"Mattingly, Fran",212,71
"Lewis, Hal",185,72
"Reed, Marcus",345,75
"MacKinnon, Jacque",235,76
"Ibiloye, Alex",183,72
"Anderson, Ronnie",189,73
"Edds, A.J.",256,76
"Garcia, Frank",205,72
"Kizer, Rayshaun",193,69
"Theofiledes, Harry",180,70
"Kimmel, Jamie",235,75
"Richardson, Paul",204,75
"Swanson, Travis",304,77
"Baldwin, Tom",274,76
"Eddy, Nick",210,73
"Bachor, Rip",215,72
"Vance, Vincent",315,78
"Watson, Allan",162,69
"Erenberg, Rich",200,70
"Peacock, Elvis",212,73
"Nitschke, Ray",235,75
"Skuta, Dan",252,74
"Swearinger, D.J.",205,70
"Godin, Matt",280,78
"Rhea, Hughie",225,75
"Abbrederis, Jared",195,73
"Alexander, Bruce",170,69
"Stewart, Jonathan",240,70
"Cade, Mossy",197,73
"Verdun-Wheeler, Danny",240,74
"Olsen, Hans",294,76
"Maxwell, Joey",197,74
"Harvey, Norm",196,72
"Lewis, Roy",190,70
"Keenan, Ed",320,76
"Reynolds, Taylor",194,73
"Giddens, Wimpy",220,74
"Kollar, Bill",255,75
"DeOssie, Steve",248,74
"Jerry, John",340,77
"Packer, Walter",174,70
"Ridler, Don",220,72
"Insley, Trevor",190,72
"Sanders, Deac",175,73
"Andrews, Bryan",266,77
"Haslerig, Clint",189,72
"Glasgow, Nesby",180,70
"Ned, Derrick",230,73
"Light, Dan",265,77
"Kahn, Eddie",194,69
"Kirkgard, Heinie",165,
"Deleston, Dahna",211,72
"Landry, Greg",210,76
"Jennings, Rashad",231,73
"Wallace, Cody",296,76
"Garcia, Eddie",178,68
"Yurchey, John",188,71
"McCareins, Justin",215,74
"Lacey, Jacob",183,70
"Pifferini, Bob",226,74
"Vanzo, Fred",230,74
"Ball, Sam",250,76
"Tellis, Henry",315,78
"Tinsley, Sid",168,69
"Kaplan, Bernie",208,72
"Cagle, Johnny",260,75
"Fischer, Brett",199,71
"Wallace, Aaron",242,74
"Scott, Walter",273,75
"Lechler, Landon",273,79
"Gragg, Chris",244,75
"Emmons, Frank",213,73
"Sanderson, Scott",295,78
"Baggs, Donnie",235,73
"Battle, Arnaz",208,73
"Franks, Dennis",241,73
"Pegues, Lee",291,74
"Becker, Kurt",271,77
"Parker, Glenn",312,77
"Fencik, Gary",194,73
"Reid, Dexter",203,71
"Blechen, Brian",230,74
"Jones, Don",195,71
"Davis, Nate",226,73
"Roberts, Corey",243,78
"O'Neal, Robert",194,73
"Ziemann, Chris",307,79
"Nielsen, Gifford",205,76
"Schaake, Elmer",207,71
"Falcon, Dick",190,71
"Nevadomsky, Jason",240,74
"Toler, Kenneth",195,74
"Johnson, Hoss",295,76
"Galloway, Joey",197,71
"Schaffer, Joe",210,72
"Perkins, Art",225,72
"Nelson, Bob",232,76
"Martin, Sherrod",200,73
"Fisher, Darrell",190,71
"Ward, Terron",201,67
"O'Connell, Tommy",187,71
"Lamphear, Mike",295,76
"Watkins, Larry",230,74
"Reese, Steve",229,74
"Hall, Jordan",191,69
"Johnson, Nate",192,71
"McCall, Kris",188,72
"Kindred, Derrick",210,70
"Magerkurth, George",240,75
"Tribune, Nigel",179,70
"Madison, Isaac",185,71
"Davis, Jarrad",238,74
"Seibold, Champ",237,76
"Sellers, Ron",205,76
"Mathis, Jonathan",300,74
"Kinderdine, Hobby",183,71
"Manders, Pug",202,72
"Randolph, Clare",204,74
"Ridgeway, Hassan",317,75
"Richardson, Antonio",300,78
"Dima, Anthony",295,78
"Barrett, John",170,66
"Neumann, Tom",205,71
"Van Sickle, Clyde",220,73
"Davis, Paul",221,74
"Parker, Marcus",273,74
"Cameron, Glenn",225,74
"Hannah, Shane",345,77
"Tausch, Terry",275,77
"Maggioli, Chick",178,71
"Jackson, Chris",203,73
"Dillon, Charles",202,72
"Rice, Floyd",223,75
"Reynolds, Josh",187,75
"Salave'a, Joe",337,75
"Manfreda, Tony",172,68
"Olsen, Ralph",220,76
"Garvin, Terence",235,75
"Jefferson, John",198,73
"Hatfield, Dominique",161,70
"Gill, Randy",230,74
"Harper, Rod",209,72
"Ohalete, Ifeanyi",221,74
"Jones, Jarnor",209,75
"Thompson, Gary",180,72
"Wilson, Russell",215,71
"Bersin, Brenton",210,75
"Cable, Tom",273,75
"Nelson, Bruce",301,77
"Seabright, Charlie",204,74
"Linsley, Corey",301,75
"Bake, Dek",272,77
"Liske, Pete",200,75
"Oliver, Jimmy",173,70
"Young, Glenn",205,74
"Toler, Lew",190,71
"Calicchio, Lonny",249,75
"Devlin, Joe",261,77
"Darwin, Matt",268,76
"Kosier, Kyle",305,77
"Dildine, Steve",238,73
"Bourne, Kendrick",203,73
"Vanderbeek, Matt",255,75
"Kloppenberg, Harry",210,73
"McCants, Darnerien",215,75
"Atkins, Bob",215,75
"Ellis, Drew",215,73
"Goetz, Chris",272,74
"Maxey, Curtis",298,75
"Arbubakrr, Hasson",250,76
"McCullers-Sanders, Dan",352,79
"Kafka, Mike",230,75
"Unga, Harvey",237,72
"Norbeck, John",195,
"Hagerty, Horse",185,70
"Threats, Jabbar",268,77
"Emerick, Bob",225,74
"Harold, Sage",245,76
"Wilson, Kyle",190,70
"Chandler, Karl",250,77
"Williams, Maxx",257,76
"Johnson, Ben",329,78
"Campbell, Bob",195,72
"Odom, Cliff",225,74
"Richard, Jalen",207,68
"Embray, Keith",265,76
"Williams, Jordan",228,75
"Johnson, Jeremiah",210,69
"Allen, Matt",230,75
"Marion, Brennan",185,72
"Hall, Rhett",276,74
"Pennington, Chad",225,75
"Manning, Jim",195,71
"Pedescleaux, Everette",305,78
"Burse, Isaiah",187,70
"Laslavic, Jim",237,74
"Thrash, James",204,72
"Rayam, Thomas",297,79
"Ware, Jeremy",185,70
"Rackley, Will",318,75
"Gibson, Claude",190,73
"Fells, Daniel",260,76
"Walton, Riley",245,76
"Damas, Herve",235,72
"Westbrooks, Greg",215,74
"Richards, Ray",230,73
"Sanders, Bob",235,75
"Washington, Dick",205,73
"Bray, Tyler",215,78
"Tomlinson, LaDainian",215,70
"Voss, Doc",190,71
"Thompson, Donnell",254,76
"Carr, Levert",272,74
"Weil, Jack",175,71
"Mays, Jerry",252,76
"Massey, Robert",200,71
"Franklin, Austin",189,71
"Taylor, Gene",189,74
"Davis, Ricky",179,73
"Carey, Ka'Deem",215,70
"Schabarum, Pete",185,71
"Nugent, David",295,76
"Williams, DeShawn",295,73
"Kirchiro, Bill",235,73
"Johnson, Ron",225,74
"Young, Avery",305,78
"Renkart, Brandon",245,74
"Lazetich, Bill",195,72
"Richardson, Trent",230,69
"Reed, Trovon",191,72
"Johnson, Kenny",176,70
"Hall, Harold",210,74
"Sehorn, Jason",213,74
"Peterman, Stephen",323,76
"James, Kendall",180,71
"James, Cory",229,73
"Navarre, John",243,78
"Hare, Ray",204,73
"Ortiz, Ricky",233,72
"Jamieson, Rob",195,72
"Godfrey, Bradon",197,75
"Sabal, Ron",245,75
"Ratigan, Brian",226,76
"Cater, Greg",191,72
"Fuller, Kyle",190,71
"Bordelon, Chris",315,78
"Edwards, Lloyd",248,75
"Easmon, Ricky",158,70
"Gamble, Kenny",197,70
"Sebo, Sam",165,67
"Crichton, Scott",273,75
"Rush, Marcus",251,74
"Dawson, JaJuan",197,73
"Ware, Matt",218,75
"Johnson, Jim",195,73
"Madar, Elmer",185,71
"Lambert, Terrail",188,70
"Edwards, Nicholas",200,75
"Dielman, Kris",320,76
"Alexander, Mike",205,75
"Eby, Andy",300,75
"Scott, Artavis",193,70
"Martin, Caleb",245,76
"Thielemann, R.C.",255,76
"Watton, Chris",290,74
"Brown, Antonio",181,70
"Peterson, Todd",215,76
"Phillips, Anwar",187,72
"Anderson, Ryan",258,74
"Olsen, Greg",255,77
"Martin, Gabe",236,74
"Hall, Randy",190,75
"Jackson, Lenzie",191,72
"Walton, Wayne",255,77
"Ford, Brad",170,70
"Ladd, Jim",205,76
"Peters, Brian",240,76
"Mays, Kivuusama",248,75
"Pittman, Billy",195,72
"Washington, Donnell",330,78
"Richmond, Nic",309,80
"Allan, Michael",254,78
"Dickerson, Ron",211,72
"Krieger-Coble, Henry",248,75
"Youboty, John",258,76
"Arena, Tony",200,72
"Jefferson, James",195,73
"Beban, Gary",195,73
"Frazier, Andre",245,77
"Jackson, DeSean",175,70
"Quarles, Bernard",215,74
"Richardson, Jerry",185,75
"Itzel, Jack",190,72
"Heeney, Ben",230,72
"Fagioli, Carl",200,72
"Thompson, Duvol",183,69
"Gore, Shawn",200,72
"Gault, Willie",178,72
"Weisenbaugh, Heinie",190,71
"Butler, Darius",188,70
"Favors, Greg",244,73
"Osika, Craig",318,75
"Orlosky, Tyler",292,75
"King, Brandon",185,70
"Amundsen, Norm",245,71
"Rentner, Pug",187,73
"Tomaini, Johnny",192,72
"Eddings, Floyd",177,71
"Williams, Nick",184,70
"Kindt, Don",207,73
"Dar Dar, Kirby",192,69
"Barlow, Corey",182,69
"Fuller, Will",180,72
"Setterstrom, Chad",310,75
"Whalen, Bill",165,67
"Thompson, Dominique",205,71
"Talcott, Don",235,74
"Fitzgerald, John",255,77
"Tanuvasa, Maa",270,74
"O'Donoghue, Neil",208,78
"Casey, James",240,75
"Campbell, Dan",265,77
"Reynolds, Chase",205,72
"Johnson, Kevin",185,72
"Johnson, Danny",215,73
"Whitehair, Cody",310,76
"Lewis, Sherman",158,69
"LeVoir, Mark",310,79
"Taylor, John",260,75
"Pittman, Kavika",273,78
"Parrish, Don",255,75
"Martin, Joe",229,73
"Lelito, Tim",315,76
"Lewis, Reggie",252,74
"Quast, Brad",245,73
"Odenigbo, Ifeadi",265,75
"Maves, Earl",180,69
"Nicholas, Calvin",208,76
"Chancellor, Chris",180,69
"Peterson, Adrian",212,70
"Mastrud, Jeron",255,78
"Carpenter, Dan",228,74
"McCarthy, Jack",186,
"Alford, Brian",190,73
"Nock, George",200,71
"Asante, Larry",210,72
"Golden, Tim",220,73
"Inman, Jerry",256,74
"Kilmer, Ethan",205,72
"Beeson, Terry",240,75
"Lammons, Pete",230,75
"West, Jeff",212,75
"Unitas, Johnny",194,73
"Johnson, Pat",196,70
"Nesbitt, Dick",204,72
"Goode, Brett",255,73
"Carpenter, Jack",240,72
"Vick, Marcus",216,72
"Banyard, Joe",223,70
"Salaam, Rashaan",225,73
